"vote_gop","state_abb","income","mar_gay","gun_law"
1,"MS",1,1,0
1,"VA",5,1,0
1,"MI",3,0,0
1,"IL",4,0,0
0,"PA",3,1,0
1,"WI",3,0,0
0,"FL",4,0,0
1,"CA",2,1,0
1,"FL",3,1,0
0,"WI",3,0,0
0,"FL",3,0,0
1,"AL",2,1,0
0,"CA",2,0,0
1,"SC",3,0,0
0,"AK",5,0,0
0,"DE",2,1,0
0,"MN",3,0,0
1,"CA",5,1,1
1,"MI",2,1,0
0,"TX",3,1,0
1,"AZ",4,1,0
1,"FL",3,1,0
1,"IN",2,1,0
1,"VA",5,1,1
1,"AZ",3,1,0
0,"NY",5,0,0
0,"VA",2,1,0
1,"CA",4,1,0
1,"TX",1,1,1
1,"KY",5,1,0
1,"MO",3,1,0
0,"IN",4,0,0
1,"CO",1,1,0
1,"FL",4,1,0
0,"UT",5,0,0
1,"IL",1,1,0
0,"MI",3,1,0
1,"CA",5,1,1
1,"NV",2,1,0
1,"IL",4,1,0
1,"NY",2,0,0
0,"IL",4,1,0
0,"PA",3,0,0
0,"PA",4,0,0
0,"TX",3,0,1
0,"MN",5,0,0
1,"TX",4,0,0
1,"TX",4,1,0
1,"NC",5,1,0
0,"VA",4,0,0
1,"AL",4,1,1
1,"NC",3,1,1
1,"IL",4,1,1
0,"IA",1,0,1
0,"OR",3,0,0
1,"KS",5,1,0
0,"TX",4,1,0
1,"TX",1,1,0
0,"IL",2,0,0
1,"ME",3,1,1
1,"OR",2,1,0
1,"MA",3,1,0
1,"PA",4,1,0
1,"IA",5,1,0
0,"FL",4,0,0
1,"LA",5,1,0
1,"CA",3,1,1
1,"NY",3,1,1
1,"AZ",4,1,0
1,"MO",2,1,1
1,"CA",2,1,1
0,"PA",4,0,0
1,"OH",5,1,0
1,"DE",3,1,1
1,"MS",5,1,0
0,"WI",4,0,0
0,"MI",4,0,0
1,"FL",2,1,1
1,"MI",4,1,1
1,"MI",3,1,0
1,"FL",4,1,1
1,"PA",4,0,0
1,"IN",3,1,1
1,"MA",3,1,0
1,"AZ",4,1,0
1,"MI",1,1,0
0,"PA",4,0,0
1,"WI",1,1,0
0,"TN",3,0,0
1,"NE",3,1,1
1,"ME",2,1,0
0,"NY",2,0,0
0,"CA",5,0,0
0,"NY",5,0,0
0,"MO",4,0,0
0,"NY",5,0,0
1,"NM",4,1,0
0,"OH",1,0,0
0,"PA",3,0,0
0,"NJ",3,0,0
1,"TX",4,0,1
1,"NC",5,0,0
0,"NC",3,1,0
0,"OK",3,0,0
1,"CA",5,0,0
0,"MA",4,0,0
0,"WA",2,0,0
0,"OH",3,0,0
0,"IN",3,0,0
1,"CA",4,0,1
1,"OK",3,1,0
1,"NY",4,0,1
0,"KS",3,0,0
0,"CA",3,0,0
0,"IA",2,1,0
1,"WI",2,0,1
1,"CA",4,1,0
1,"TX",5,1,0
1,"PA",4,1,0
1,"FL",3,0,0
0,"MD",5,0,0
0,"OH",2,0,0
0,"TX",3,0,0
1,"WV",2,1,0
0,"FL",5,1,0
1,"FL",5,0,1
0,"NJ",5,0,0
1,"VA",4,1,0
0,"MN",5,0,0
1,"VA",4,1,0
0,"CA",4,0,0
1,"CA",5,1,0
1,"MI",5,1,1
1,"CA",5,1,0
0,"PA",5,0,0
1,"CO",5,1,0
0,"NH",4,0,0
0,"LA",4,0,0
1,"GA",1,1,1
0,"IN",3,1,0
1,"FL",3,1,0
1,"WV",4,1,0
0,"OR",3,0,0
0,"TN",3,0,0
0,"TX",1,1,0
1,"VA",5,1,1
1,"CA",5,1,0
1,"WI",5,1,0
1,"TX",2,1,1
1,"FL",5,1,0
1,"CO",5,1,1
0,"WA",3,0,0
1,"TX",3,1,0
0,"CA",5,0,0
0,"AZ",3,0,0
0,"OR",1,0,0
0,"NY",5,0,0
0,"FL",3,0,1
1,"TX",5,1,0
0,"CA",5,1,0
0,"CA",5,0,0
1,"MD",4,1,0
0,"IL",5,0,0
0,"OH",2,0,0
1,"TX",3,1,0
0,"IA",5,0,0
1,"OH",5,1,0
0,"NJ",2,1,0
0,"WA",3,0,0
0,"VA",5,1,0
1,"CA",3,1,0
1,"PA",3,0,0
0,"CA",3,0,0
0,"FL",3,0,0
0,"FL",4,0,0
1,"TX",5,1,0
1,"OR",2,1,0
1,"WA",3,1,1
1,"MD",1,1,0
0,"CA",3,0,0
0,"NY",3,1,0
0,"KY",2,0,0
1,"GA",3,0,0
0,"FL",3,0,0
